colors;cons.name;driver.name
#00D2BE;Mercedes;Lewis Hamilton
#00D2BE;Mercedes;Valtteri Bottas
#00D2BE;Mercedes;George Russell
#0600ef;Red Bull;Max Verstappen
#0600ef;Red Bull;Alexander Albon
#F596C8;Racing Point;Sergio Pérez
#F596C8;Racing Point;Lance Stroll
#F596C8;Racing Point;Nico Hülkenberg
#FFF500;Renault;Daniel Ricciardo
#FFF500;Renault;Esteban Ocon
#FF8700;McLaren;Carlos Sainz
#FF8700;McLaren;Lando Norris
#DC0000;Ferrari;Charles Leclerc
#DC0000;Ferrari;Sebastian Vettel
#ffffff;AlphaTauri;Pierre Gasly
#ffffff;AlphaTauri;Daniil Kvyat
#960000;Alfa Romeo;Kimi Räikkönen
#960000;Alfa Romeo;Antonio Giovinazzi
#0082fa;Williams;George Russell
#0082fa;Williams;Nicholas Latifi
#0082fa;Williams;Jack Aitken
#787878;Haas F1 Team;Romain Grosjean
#787878;Haas F1 Team;Kevin Magnussen
#787878;Haas F1 Team;Pietro Fittipaldi
