Variables;Value;driver.name
Podiums;1;Lando Norris
Points;146;Lando Norris
Grands Prix entered;38;Lando Norris
World Championships;N/A;Lando Norris
Highest race finish;3 (x1);Lando Norris
Highest grid position;3;Lando Norris
Podiums;2;Alexander Albon
Points;197;Alexander Albon
Grands Prix entered;38;Alexander Albon
World Championships;N/A;Alexander Albon
Highest race finish;3 (x2);Alexander Albon
Highest grid position;4;Alexander Albon
Podiums;165;Lewis Hamilton
Points;3778;Lewis Hamilton
Grands Prix entered;266;Lewis Hamilton
World Championships;7;Lewis Hamilton
Highest race finish;1 (x95);Lewis Hamilton
Highest grid position;1;Lewis Hamilton
Podiums;N/A;George Russell
Points;3;George Russell
Grands Prix entered;38;George Russell
World Championships;N/A;George Russell
Highest race finish;9 (x1);George Russell
Highest grid position;2;George Russell
Podiums;56;Valtteri Bottas
Points;1512;Valtteri Bottas
Grands Prix entered;157;Valtteri Bottas
World Championships;N/A;Valtteri Bottas
Highest race finish;1 (x9);Valtteri Bottas
Highest grid position;1;Valtteri Bottas
Podiums;3;Daniil Kvyat
Points;202;Daniil Kvyat
Grands Prix entered;112;Daniil Kvyat
World Championships;N/A;Daniil Kvyat
Highest race finish;2 (x1);Daniil Kvyat
Highest grid position;4;Daniil Kvyat
Podiums;1;Esteban Ocon
Points;198;Esteban Ocon
Grands Prix entered;67;Esteban Ocon
World Championships;N/A;Esteban Ocon
Highest race finish;2 (x1);Esteban Ocon
Highest grid position;3;Esteban Ocon
Podiums;2;Carlos Sainz
Points;372;Carlos Sainz
Grands Prix entered;119;Carlos Sainz
World Championships;N/A;Carlos Sainz
Highest race finish;2 (x1);Carlos Sainz
Highest grid position;3;Carlos Sainz
Podiums;2;Pierre Gasly
Points;199;Pierre Gasly
Grands Prix entered;64;Pierre Gasly
World Championships;N/A;Pierre Gasly
Highest race finish;1 (x1);Pierre Gasly
Highest grid position;4;Pierre Gasly
Podiums;N/A;Nicholas Latifi
Points;0;Nicholas Latifi
Grands Prix entered;17;Nicholas Latifi
World Championships;N/A;Nicholas Latifi
Highest race finish;11 (x3);Nicholas Latifi
Highest grid position;15;Nicholas Latifi
Podiums;10;Sergio P﻿érez
Points;706;Sergio P﻿érez
Grands Prix entered;193;Sergio P﻿érez
World Championships;N/A;Sergio P﻿érez
Highest race finish;1 (x1);Sergio P﻿érez
Highest grid position;3;Sergio P﻿érez
Podiums;3;Lance Stroll
Points;142;Lance Stroll
Grands Prix entered;78;Lance Stroll
World Championships;N/A;Lance Stroll
Highest race finish;3 (x3);Lance Stroll
Highest grid position;1;Lance Stroll
Podiums;N/A;Antonio Giovinazzi
Points;18;Antonio Giovinazzi
Grands Prix entered;40;Antonio Giovinazzi
World Championships;N/A;Antonio Giovinazzi
Highest race finish;5 (x1);Antonio Giovinazzi
Highest grid position;7;Antonio Giovinazzi
Podiums;12;Charles Leclerc
Points;401;Charles Leclerc
Grands Prix entered;59;Charles Leclerc
World Championships;N/A;Charles Leclerc
Highest race finish;1 (x2);Charles Leclerc
Highest grid position;1;Charles Leclerc
Podiums;103;Kimi Räikkönen
Points;1863;Kimi Räikkönen
Grands Prix entered;332;Kimi Räikkönen
World Championships;1;Kimi Räikkönen
Highest race finish;1 (x21);Kimi Räikkönen
Highest grid position;1;Kimi Räikkönen
Podiums;42;Max Verstappen
Points;1162;Max Verstappen
Grands Prix entered;119;Max Verstappen
World Championships;N/A;Max Verstappen
Highest race finish;1 (x10);Max Verstappen
Highest grid position;1;Max Verstappen
Podiums;121;Sebastian Vettel
Points;3018;Sebastian Vettel
Grands Prix entered;258;Sebastian Vettel
World Championships;4;Sebastian Vettel
Highest race finish;1 (x53);Sebastian Vettel
Highest grid position;1;Sebastian Vettel
Podiums;31;Daniel Ricciardo
Points;1159;Daniel Ricciardo
Grands Prix entered;188;Daniel Ricciardo
World Championships;N/A;Daniel Ricciardo
Highest race finish;1 (x7);Daniel Ricciardo
Highest grid position;1;Daniel Ricciardo
Podiums;1;Kevin Magnussen
Points;158;Kevin Magnussen
Grands Prix entered;120;Kevin Magnussen
World Championships;N/A;Kevin Magnussen
Highest race finish;2 (x1);Kevin Magnussen
Highest grid position;4;Kevin Magnussen
Podiums;10;Romain Grosjean
Points;391;Romain Grosjean
Grands Prix entered;181;Romain Grosjean
World Championships;N/A;Romain Grosjean
Highest race finish;2 (x2);Romain Grosjean
Highest grid position;2;Romain Grosjean
