"","Driver","GP","Tyres","From","To","X.Laps"
"1","Valtteri Bottas","Austria","Soft Used",1,26,26
"2","Valtteri Bottas","Austria","Hard New",27,56,30
"3","Valtteri Bottas","Austria","Hard New",57,71,15
"4","Charles Leclerc","Austria","Soft Used",1,26,26
"5","Charles Leclerc","Austria","Hard New",27,51,25
"6","Charles Leclerc","Austria","Medium New",52,56,5
"7","Charles Leclerc","Austria","Medium New",57,71,15
"8","Lando Norris","Austria","Soft Used",1,26,26
"9","Lando Norris","Austria","Hard New",27,51,25
"10","Lando Norris","Austria","Medium New",52,56,5
"11","Lando Norris","Austria","Medium New",57,71,15
"12","Lewis Hamilton","Austria","Soft Used",1,26,26
"13","Lewis Hamilton","Austria","Hard New",27,56,30
"14","Lewis Hamilton","Austria","Hard New",57,71,15
"15","Carlos Sainz","Austria","Soft Used",1,26,26
"16","Carlos Sainz","Austria","Medium New",53,56,4
"17","Carlos Sainz","Austria","Medium New",57,71,15
"18","Sergio Perez","Austria","Soft Used",1,26,26
"19","Sergio Perez","Austria","Hard New",27,56,30
"20","Sergio Perez","Austria","Medium New",57,71,15
"21","Pierre Gasly","Austria","Medium New",1,26,26
"22","Pierre Gasly","Austria","Hard New",27,56,30
"23","Pierre Gasly","Austria","Hard New",57,71,15
"24","Esteban Ocon","Austria","Medium New",1,26,26
"25","Esteban Ocon","Austria","Hard New",27,56,30
"26","Antonio Giovinazzi","Austria","Medium New",1,25,25
"27","Antonio Giovinazzi","Austria","Hard New",26,55,30
"28","Antonio Giovinazzi","Austria","Soft New",56,57,2
"29","Antonio Giovinazzi","Austria","Soft Used",58,71,14
"30","Sebastian Vettel","Austria","Medium New",1,26,26
"31","Sebastian Vettel","Austria","Hard New",27,51,25
"32","Sebastian Vettel","Austria","Soft New",52,56,5
"33","Sebastian Vettel","Austria","Soft Used",57,71,15
"34","Nicholas Latifi","Austria","Medium New",1,26,26
"35","Nicholas Latifi","Austria","Soft New",52,56,5
"36","Daniil Kvyat","Austria","Medium New",1,26,26
"37","Daniil Kvyat","Austria","Hard New",27,51,25
"38","Daniil Kvyat","Austria","Soft New",52,56,5
"39","Daniil Kvyat","Austria","Soft New",57,69,13
"40","Alexander Albon","Austria","Soft Used",1,26,26
"41","Alexander Albon","Austria","Hard New",27,51,25
"42","Alexander Albon","Austria","Soft Used",52,56,5
"43","Alexander Albon","Austria","Soft Used",57,67,11
"44","Kimi Räikkönen","Austria","Medium New",1,24,24
"45","Kimi Räikkönen","Austria","Hard New",25,51,27
"46","Kimi Räikkönen","Austria","Soft Used",52,53,2
"47","George Russell","Austria","Hard New",26,49,24
"48","Romain Grosjean","Austria","Medium New",1,20,20
"49","Romain Grosjean","Austria","Hard New",21,49,29
"50","Kevin Magnussen","Austria","Medium New",1,24,24
"51","Lance Stroll","Austria","Soft Used",1,20,20
"52","Daniel Ricciardo","Austria","Soft Used",1,17,17
"53","Nicholas Latifi","Austria","Soft New",57,71,15
"54","Carlos Sainz","Austria","Hard New",27,52,26
"55","Nicholas Latifi","Austria","Hard New",27,51,25
"56","George Russell","Austria","Medium New",1,25,25
"57","Max Verstappen","Austria","Medium Used",1,11,11
"58","Lewis Hamilton","Styria","Soft New",1,27,27
"59","Lewis Hamilton","Styria","Medium New",28,71,44
"60","Valtteri Bottas","Styria","Soft New",1,34,34
"61","Max Verstappen","Styria","Soft New",1,24,24
"62","Max Verstappen","Styria","Medium New",25,68,44
"63","Max Verstappen","Styria","Soft New",69,71,3
"64","Alexander Albon","Styria","Soft New",1,35,35
"65","Alexander Albon","Styria","Medium New",36,71,36
"66","Lando Norris","Styria","Soft New",1,39,39
"67","Lando Norris","Styria","Medium New",40,71,32
"68","Sergio Perez","Styria","Soft New",1,38,38
"69","Sergio Perez","Styria","Medium New",39,71,33
"70","Lance Stroll","Styria","Soft New",1,33,33
"71","Lance Stroll","Styria","Medium New",34,71,38
"72","Daniel Ricciardo","Styria","Medium New",1,37,37
"73","Daniel Ricciardo","Styria","Soft New",38,71,34
"74","Carlos Sainz","Styria","Soft New",1,32,32
"75","Daniil Kvyat","Styria","Medium New",1,36,36
"76","Daniil Kvyat","Styria","Hard New",37,70,34
"77","Carlos Sainz","Styria","Medium New",33,66,34
"78","Carlos Sainz","Styria","Soft New",67,70,4
"79","Kimi Räikkönen","Styria","Medium New",1,44,44
"80","Kimi Räikkönen","Styria","Soft New",45,70,26
"81","Kevin Magnussen","Styria","Soft New",1,31,31
"82","Kevin Magnussen","Styria","Medium New",32,70,39
"83","Romain Grosjean","Styria","Soft New",1,37,37
"84","Romain Grosjean","Styria","Medium New",38,70,33
"85","Antonio Giovinazzi","Styria","Medium New",1,39,39
"86","Antonio Giovinazzi","Styria","Soft New",40,70,31
"87","Pierre Gasly","Styria","Soft New",1,24,24
"88","Pierre Gasly","Styria","Hard New",25,49,25
"89","Pierre Gasly","Styria","Soft New",50,70,21
"90","George Russell","Styria","Soft New",1,34,34
"91","George Russell","Styria","Medium New",35,69,35
"92","Nicholas Latifi","Styria","Medium New",1,32,32
"93","Nicholas Latifi","Styria","Soft New",33,69,37
"94","Charles Leclerc","Styria","Soft New",1,1,1
"95","Charles Leclerc","Styria","Hard New",2,4,3
"96","Sebastian Vettel","Styria","Medium New",1,1,1
"97","Valtteri Bottas","Styria","Medium New",35,71,37
"98","Esteban Ocon","Styria","Soft New",1,25,25
"99","Esteban Ocon","Austria","Hard New",57,71,15
"100","Lewis Hamilton","Hungary","Intermediate New",1,3,3
"101","Lewis Hamilton","Hungary","Medium New",4,37,34
"102","Lewis Hamilton","Hungary","Medium Used",38,66,29
"103","Lewis Hamilton","Hungary","Soft Used",67,70,4
"104","Max Verstappen","Hungary","Intermediate New",1,4,4
"105","Max Verstappen","Hungary","Medium New",5,36,32
"106","Max Verstappen","Hungary","Hard New",37,70,34
"107","Valtteri Bottas","Hungary","Intermediate New",1,2,2
"108","Valtteri Bottas","Hungary","Medium New",3,33,31
"109","Valtteri Bottas","Hungary","Medium Used",34,49,16
"110","Valtteri Bottas","Hungary","Hard New",50,70,21
"111","Lance Stroll","Hungary","Intermediate New",1,3,3
"112","Lance Stroll","Hungary","Medium Used",4,35,32
"113","Lance Stroll","Hungary","Medium Used",36,52,17
"114","Lance Stroll","Hungary","Hard New",53,70,18
"115","Alexander Albon","Hungary","Intermediate New",1,3,3
"116","Alexander Albon","Hungary","Medium New",4,34,31
"117","Alexander Albon","Hungary","Hard New",35,70,36
"118","Sebastian Vettel","Hungary","Intermediate New",1,3,3
"119","Sebastian Vettel","Hungary","Medium New",4,29,26
"120","Sebastian Vettel","Hungary","Hard New",30,69,40
"121","Sergio Perez","Hungary","Intermediate New",1,3,3
"122","Sergio Perez","Hungary","Medium Used",4,35,32
"123","Sergio Perez","Hungary","Hard New",36,69,34
"124","Daniel Ricciardo","Hungary","Intermediate New",1,4,4
"125","Daniel Ricciardo","Hungary","Medium Used",5,43,39
